Type d'acte;Année;Arrondissement;Nombres
Reconnaissances;2015;3ème arrdt;136
Reconnaissances;2015;12ème arrdt;759
Reconnaissances;2016;8ème arrdt;113
Reconnaissances;2016;12ème arrdt;699
Reconnaissances;2017;9ème arrdt;232
Reconnaissances;2017;14ème arrdt;656
Reconnaissances;2018;14ème arrdt;651
Reconnaissances;2019;14ème arrdt;589
Reconnaissances;2019;15ème arrdt;762
Mariages;2005;5ème arrdt;290
Mariages;2007;19ème arrdt;924
Mariages;2008;7ème arrdt;271
Mariages;2009;5ème arrdt;293
Mariages;2009;18ème arrdt;756
Mariages;2011;1er arrdt;98
Mariages;2011;6ème arrdt;194
Mariages;2011;12ème arrdt;527
Mariages;2012;4ème arrdt;121
Mariages;2012;16ème arrdt;763
Mariages;2012;20ème arrdt;727
Mariages;2014;2ème arrdt;150
Mariages;2014;5ème arrdt;270
Mariages;2014;11ème arrdt;742
Mariages;2016;7ème arrdt;250
Mariages;2016;11ème arrdt;661
Mariages;2018;13ème arrdt;634
Mariages;2020;14ème arrdt;330
Mariages;2020;17ème arrdt;336
Mariages;2020;18ème arrdt;492
Décès;2005;20ème arrdt;1363
Décès;2006;2ème arrdt;42
Décès;2007;3ème arrdt;55
Décès;2007;11ème arrdt;306
Décès;2009;1er arrdt;39
Décès;2010;4ème arrdt;295
Décès;2010;6ème arrdt;114
Décès;2011;15ème arrdt;3261
Décès;2015;14ème arrdt;2087
Décès;2017;17ème arrdt;373
Décès;2018;3ème arrdt;45
Décès;2019;14ème arrdt;2161
PACS;2017;14ème arrdt;148
PACS;2018;2ème arrdt;120
PACS;2019;13ème arrdt;673
Naissances;2005;2ème arrdt;1
Naissances;2005;10ème arrdt;2123
Naissances;2005;19ème arrdt;2711
Naissances;2008;9ème arrdt;5
Naissances;2004;11ème arrdt;2903
Naissances;2010;4ème arrdt;1
Naissances;2004;15ème arrdt;4321
Naissances;2010;5ème arrdt;3
Naissances;2005;1er arrdt;1
Naissances;2010;7ème arrdt;4
Naissances;2005;17ème arrdt;2022
Naissances;2012;16ème arrdt;1439
Naissances;2007;4ème arrdt;4
Naissances;2013;1er arrdt;0
Naissances;2007;10ème arrdt;2248
Naissances;2013;4ème arrdt;1
Naissances;2008;11ème arrdt;865
Naissances;2014;14ème arrdt;10673
Naissances;2009;15ème arrdt;5210
Naissances;2015;16ème arrdt;1328
Naissances;2009;19ème arrdt;3051
Naissances;2016;8ème arrdt;2
Naissances;2010;2ème arrdt;0
Naissances;2018;3ème arrdt;1
Naissances;2012;2ème arrdt;2
Naissances;2019;15ème arrdt;6463
Naissances;2012;13ème arrdt;3736
Naissances;2020;3ème arrdt;2
Naissances;2013;6ème arrdt;0
Reconnaissances;2004;5ème arrdt;180
Naissances;2015;17ème arrdt;1567
Reconnaissances;2004;13ème arrdt;1319
Naissances;2016;9ème arrdt;1
Reconnaissances;2008;4ème arrdt;113
Naissances;2018;10ème arrdt;2358
Reconnaissances;2009;1er arrdt;66
Naissances;2020;15ème arrdt;6226
Reconnaissances;2010;17ème arrdt;645
Reconnaissances;2005;1er arrdt;70
Reconnaissances;2011;15ème arrdt;874
Reconnaissances;2006;10ème arrdt;832
Reconnaissances;2012;6ème arrdt;66
Reconnaissances;2007;8ème arrdt;124
Reconnaissances;2012;16ème arrdt;295
Reconnaissances;2007;15ème arrdt;831
Reconnaissances;2012;17ème arrdt;558
Reconnaissances;2009;4ème arrdt;107
Reconnaissances;2013;11ème arrdt;679
Reconnaissances;2009;6ème arrdt;105
Reconnaissances;2014;14ème arrdt;775
Reconnaissances;2011;13ème arrdt;928
Reconnaissances;2015;2ème arrdt;99
Reconnaissances;2011;18ème arrdt;1216
Reconnaissances;2016;19ème arrdt;959
Reconnaissances;2012;13ème arrdt;953
Reconnaissances;2017;7ème arrdt;86
Reconnaissances;2012;19ème arrdt;1079
Reconnaissances;2017;15ème arrdt;811
Reconnaissances;2014;12ème arrdt;771
Reconnaissances;2018;6ème arrdt;102
Reconnaissances;2017;1er arrdt;55
Reconnaissances;2018;17ème arrdt;513
Reconnaissances;2017;17ème arrdt;487
Mariages;2004;8ème arrdt;240
Reconnaissances;2018;4ème arrdt;95
Mariages;2004;14ème arrdt;661
Reconnaissances;2018;20ème arrdt;727
Mariages;2005;10ème arrdt;609
Reconnaissances;2019;2ème arrdt;85
Mariages;2008;20ème arrdt;756
Reconnaissances;2019;6ème arrdt;74
Mariages;2010;10ème arrdt;423
Mariages;2004;2ème arrdt;146
Mariages;2011;11ème arrdt;605
Mariages;2006;17ème arrdt;612
Mariages;2016;8ème arrdt;195
Mariages;2007;6ème arrdt;228
Mariages;2017;13ème arrdt;646
Mariages;2007;12ème arrdt;513
Mariages;2017;15ème arrdt;936
Mariages;2007;18ème arrdt;943
Mariages;2018;4ème arrdt;130
Mariages;2008;11ème arrdt;606
Mariages;2019;6ème arrdt;175
Mariages;2011;20ème arrdt;597
Mariages;2020;13ème arrdt;484
Mariages;2012;6ème arrdt;219
Décès;2004;9ème arrdt;99
Mariages;2012;14ème arrdt;535
Décès;2006;1er arrdt;39
Mariages;2013;17ème arrdt;526
Décès;2006;15ème arrdt;3060
Mariages;2014;10ème arrdt;452
Décès;2007;4ème arrdt;333
Mariages;2017;19ème arrdt;811
Décès;2008;3ème arrdt;55
Mariages;2017;20ème arrdt;745
Décès;2010;13ème arrdt;2059
Mariages;2018;5ème arrdt;263
Décès;2012;16ème arrdt;948
Mariages;2019;1er arrdt;116
Décès;2013;1er arrdt;37
Mariages;2019;9ème arrdt;304
Décès;2013;4ème arrdt;129
Mariages;2020;11ème arrdt;428
Décès;2013;9ème arrdt;79
Décès;2004;13ème arrdt;1851
Décès;2015;18ème arrdt;1491
Décès;2005;3ème arrdt;61
Décès;2016;2ème arrdt;20
Décès;2005;17ème arrdt;354
Décès;2016;5ème arrdt;370
Décès;2007;15ème arrdt;3184
Décès;2016;18ème arrdt;1668
Décès;2008;4ème arrdt;284
Décès;2017;19ème arrdt;1055
Décès;2008;10ème arrdt;1444
Décès;2017;20ème arrdt;1142
Décès;2008;13ème arrdt;2006
Décès;2019;20ème arrdt;1076
Décès;2009;3ème arrdt;48
Décès;2020;4ème arrdt;48
Décès;2009;8ème arrdt;116
PACS;2020;1er arrdt;38
Décès;2010;5ème arrdt;603
PACS;2020;12ème arrdt;452
Décès;2011;3ème arrdt;53
PACS;2020;13ème arrdt;523
Décès;2011;18ème arrdt;1362
PACS;2020;14ème arrdt;344
Décès;2013;8ème arrdt;94
Décès;2018;2ème arrdt;29
Décès;2018;4ème arrdt;59
Décès;2018;19ème arrdt;1166
Décès;2019;3ème arrdt;42
Décès;2020;2ème arrdt;24
Naissances;2005;5ème arrdt;3
Naissances;2006;11ème arrdt;2769
Naissances;2007;6ème arrdt;1
Naissances;2008;18ème arrdt;2323
Naissances;2014;10ème arrdt;2679
Naissances;2006;7ème arrdt;0
Naissances;2016;7ème arrdt;0
Naissances;2006;10ème arrdt;2312
Naissances;2016;14ème arrdt;11046
Naissances;2007;1er arrdt;2
Naissances;2017;1er arrdt;1
Naissances;2011;9ème arrdt;3
Naissances;2017;18ème arrdt;2138
Naissances;2013;7ème arrdt;1
Naissances;2018;4ème arrdt;2
Naissances;2014;1er arrdt;0
Naissances;2019;2ème arrdt;1
Naissances;2019;18ème arrdt;2095
Naissances;2019;8ème arrdt;4
Reconnaissances;2005;3ème arrdt;182
Naissances;2019;9ème arrdt;1
Reconnaissances;2005;19ème arrdt;1650
Naissances;2020;1er arrdt;1
Reconnaissances;2007;18ème arrdt;1374
Naissances;2020;12ème arrdt;8785
Reconnaissances;2008;16ème arrdt;298
Reconnaissances;2005;7ème arrdt;130
Reconnaissances;2010;1er arrdt;68
Reconnaissances;2005;20ème arrdt;1194
Reconnaissances;2012;4ème arrdt;93
Reconnaissances;2006;8ème arrdt;124
Reconnaissances;2016;20ème arrdt;840
Reconnaissances;2007;2ème arrdt;110
Reconnaissances;2018;10ème arrdt;585
Reconnaissances;2007;10ème arrdt;685
Reconnaissances;2020;1er arrdt;23
Reconnaissances;2007;20ème arrdt;1052
Mariages;2004;9ème arrdt;329
Reconnaissances;2008;11ème arrdt;761
Mariages;2004;10ème arrdt;634
Reconnaissances;2010;18ème arrdt;1297
Mariages;2004;19ème arrdt;1170
Reconnaissances;2011;1er arrdt;48
Mariages;2005;2ème arrdt;150
Reconnaissances;2011;14ème arrdt;712
Mariages;2005;15ème arrdt;1101
Reconnaissances;2012;1er arrdt;62
Mariages;2006;3ème arrdt;235
Reconnaissances;2014;7ème arrdt;83
Mariages;2006;7ème arrdt;284
Reconnaissances;2015;4ème arrdt;97
Mariages;2008;2ème arrdt;112
Reconnaissances;2015;19ème arrdt;862
Mariages;2008;18ème arrdt;784
Reconnaissances;2018;13ème arrdt;920
Mariages;2009;2ème arrdt;118
Reconnaissances;2019;18ème arrdt;1107
Mariages;2009;7ème arrdt;259
Reconnaissances;2020;14ème arrdt;464
Mariages;2009;10ème arrdt;428
Mariages;2005;6ème arrdt;238
Mariages;2009;12ème arrdt;508
Mariages;2005;19ème arrdt;1154
Mariages;2010;2ème arrdt;132
Mariages;2007;15ème arrdt;958
Mariages;2011;13ème arrdt;680
Mariages;2008;10ème arrdt;411
Mariages;2011;17ème arrdt;498
Mariages;2013;5ème arrdt;262
Mariages;2017;17ème arrdt;518
Mariages;2013;6ème arrdt;199
Mariages;2020;19ème arrdt;503
Mariages;2013;7ème arrdt;244
Décès;2005;10ème arrdt;1414
Mariages;2014;3ème arrdt;261
Décès;2006;4ème arrdt;349
Mariages;2015;10ème arrdt;374
Décès;2006;5ème arrdt;533
Mariages;2020;2ème arrdt;54
Décès;2007;1er arrdt;44
Mariages;2020;8ème arrdt;151
Décès;2007;8ème arrdt;122
Mariages;2020;16ème arrdt;525
Décès;2007;13ème arrdt;1918
Décès;2004;8ème arrdt;146
Décès;2009;4ème arrdt;301
Décès;2005;2ème arrdt;46
Décès;2009;13ème arrdt;2056
Décès;2005;8ème arrdt;121
Décès;2010;3ème arrdt;50
Décès;2005;15ème arrdt;2744
Décès;2013;17ème arrdt;389
Décès;2006;12ème arrdt;1511
Décès;2013;20ème arrdt;1134
Décès;2006;20ème arrdt;1302
Décès;2014;13ème arrdt;2042
Décès;2010;17ème arrdt;390
Décès;2015;2ème arrdt;29
Décès;2012;2ème arrdt;26
Décès;2015;19ème arrdt;1140
Décès;2012;11ème arrdt;273
Décès;2016;15ème arrdt;3436
Décès;2014;1er arrdt;26
Décès;2018;9ème arrdt;105
Décès;2014;2ème arrdt;18
Décès;2018;18ème arrdt;1628
Décès;2015;3ème arrdt;54
Décès;2019;1er arrdt;27
Décès;2017;15ème arrdt;3710
Décès;2019;2ème arrdt;30
Décès;2018;5ème arrdt;382
Décès;2020;14ème arrdt;2639
Décès;2019;13ème arrdt;2269
Décès;2020;20ème arrdt;1395
PACS;2018;5ème arrdt;232
PACS;2017;1er arrdt;27
PACS;2019;8ème arrdt;104
PACS;2017;18ème arrdt;208
PACS;2020;3ème arrdt;110
PACS;2017;20ème arrdt;159
PACS;2019;1er arrdt;67
PACS;2019;12ème arrdt;703
PACS;2020;2ème arrdt;78
Naissances;2004;13ème arrdt;3447
Naissances;2004;20ème arrdt;2159
Naissances;2005;3ème arrdt;3
Naissances;2005;18ème arrdt;2370
Naissances;2006;2ème arrdt;0
Naissances;2006;12ème arrdt;8350
Naissances;2009;4ème arrdt;2
Naissances;2009;13ème arrdt;3388
Naissances;2012;3ème arrdt;2
Naissances;2012;11ème arrdt;705
Naissances;2012;18ème arrdt;2160
Naissances;2014;5ème arrdt;1
Naissances;2015;2ème arrdt;1
Naissances;2015;19ème arrdt;2988
Naissances;2017;9ème arrdt;2
Naissances;2017;20ème arrdt;2615
Naissances;2018;20ème arrdt;2529
Naissances;2020;4ème arrdt;0
Reconnaissances;2006;5ème arrdt;158
Reconnaissances;2006;7ème arrdt;119
Reconnaissances;2006;11ème arrdt;1207
Reconnaissances;2008;8ème arrdt;108
Reconnaissances;2011;10ème arrdt;549
Reconnaissances;2017;12ème arrdt;718
Reconnaissances;2019;8ème arrdt;119
Reconnaissances;2019;17ème arrdt;492
Reconnaissances;2020;3ème arrdt;157
Mariages;2004;4ème arrdt;152
Mariages;2004;16ème arrdt;888
Mariages;2005;18ème arrdt;1095
Mariages;2006;6ème arrdt;202
Mariages;2006;15ème arrdt;991
Mariages;2007;7ème arrdt;299
Mariages;2007;8ème arrdt;192
Mariages;2009;15ème arrdt;947
Mariages;2011;18ème arrdt;730
Mariages;2012;3ème arrdt;201
Mariages;2012;11ème arrdt;661
Mariages;2013;1er arrdt;102
Mariages;2014;12ème arrdt;625
Mariages;2016;17ème arrdt;512
Mariages;2016;20ème arrdt;698
Mariages;2017;2ème arrdt;124
Mariages;2017;8ème arrdt;217
Mariages;2017;16ème arrdt;807
Mariages;2020;12ème arrdt;336
Décès;2004;18ème arrdt;1497
Décès;2005;4ème arrdt;374
Décès;2005;7ème arrdt;211
Décès;2005;12ème arrdt;1549
Décès;2006;11ème arrdt;293
Décès;2007;6ème arrdt;120
Décès;2008;1er arrdt;39
Décès;2011;9ème arrdt;95
Décès;2012;7ème arrdt;186
Décès;2012;12ème arrdt;1583
Décès;2012;14ème arrdt;2015
Décès;2012;17ème arrdt;358
Décès;2013;11ème arrdt;233
Décès;2014;11ème arrdt;223
Décès;2014;20ème arrdt;1114
Décès;2015;16ème arrdt;1006
Décès;2016;6ème arrdt;95
Décès;2016;19ème arrdt;1089
Décès;2017;5ème arrdt;328
Décès;2017;13ème arrdt;2281
Décès;2018;15ème arrdt;3565
Décès;2019;10ème arrdt;1333
Décès;2019;12ème arrdt;1716
Décès;2020;18ème arrdt;1787
PACS;2019;6ème arrdt;133
PACS;2019;18ème arrdt;935
PACS;2020;6ème arrdt;107
Naissances;2004;17ème arrdt;2226
Naissances;2005;4ème arrdt;0
Naissances;2005;12ème arrdt;7762
Naissances;2006;8ème arrdt;3
Naissances;2006;14ème arrdt;10429
Naissances;2007;7ème arrdt;1
Naissances;2007;19ème arrdt;2928
Naissances;2009;5ème arrdt;2
Naissances;2009;14ème arrdt;10206
Naissances;2010;6ème arrdt;1
Naissances;2011;18ème arrdt;2291
Naissances;2012;7ème arrdt;1
Naissances;2012;17ème arrdt;1596
Naissances;2014;3ème arrdt;0
Naissances;2016;12ème arrdt;9700
Naissances;2016;17ème arrdt;1376
Naissances;2017;4ème arrdt;0
Naissances;2017;14ème arrdt;10874
Naissances;2020;6ème arrdt;0
Naissances;2020;7ème arrdt;1
Reconnaissances;2004;14ème arrdt;1157
Reconnaissances;2005;17ème arrdt;866
Reconnaissances;2006;12ème arrdt;1474
Reconnaissances;2006;14ème arrdt;933
Reconnaissances;2006;17ème arrdt;763
Reconnaissances;2007;4ème arrdt;100
Reconnaissances;2007;11ème arrdt;783
Reconnaissances;2009;19ème arrdt;1185
Reconnaissances;2011;20ème arrdt;1055
Reconnaissances;2012;2ème arrdt;106
Reconnaissances;2013;10ème arrdt;507
Reconnaissances;2015;1er arrdt;70
Reconnaissances;2015;6ème arrdt;103
Reconnaissances;2015;8ème arrdt;123
Reconnaissances;2015;20ème arrdt;849
Reconnaissances;2016;4ème arrdt;90
Reconnaissances;2016;15ème arrdt;818
Reconnaissances;2017;20ème arrdt;814
Reconnaissances;2020;17ème arrdt;467
Mariages;2004;7ème arrdt;308
Mariages;2004;11ème arrdt;747
Mariages;2006;14ème arrdt;579
Mariages;2006;20ème arrdt;879
Mariages;2007;1er arrdt;105
Mariages;2007;2ème arrdt;141
Mariages;2007;16ème arrdt;777
Mariages;2009;3ème arrdt;195
Naissances;2004;8ème arrdt;5
Mariages;2009;14ème arrdt;585
Naissances;2004;16ème arrdt;1415
Mariages;2011;3ème arrdt;175
Naissances;2008;17ème arrdt;1703
Mariages;2011;4ème arrdt;120
Naissances;2009;17ème arrdt;1510
Mariages;2011;15ème arrdt;887
Naissances;2011;11ème arrdt;1729
Mariages;2012;1er arrdt;97
Naissances;2012;1er arrdt;1
Mariages;2012;12ème arrdt;538
Naissances;2013;10ème arrdt;2339
Mariages;2013;11ème arrdt;708
Naissances;2013;16ème arrdt;1390
Mariages;2014;14ème arrdt;561
Naissances;2014;6ème arrdt;1
Mariages;2015;8ème arrdt;201
Naissances;2014;7ème arrdt;0
Mariages;2015;19ème arrdt;789
Naissances;2014;17ème arrdt;1569
Mariages;2018;19ème arrdt;842
Naissances;2015;11ème arrdt;6
Décès;2004;10ème arrdt;1283
Naissances;2015;13ème arrdt;3161
Décès;2004;11ème arrdt;368
Naissances;2016;13ème arrdt;3044
Décès;2005;19ème arrdt;463
Naissances;2018;9ème arrdt;6
Décès;2006;6ème arrdt;128
Naissances;2018;15ème arrdt;6548
Décès;2011;10ème arrdt;1372
Reconnaissances;2004;3ème arrdt;191
Décès;2013;15ème arrdt;3316
Reconnaissances;2004;10ème arrdt;897
Décès;2015;5ème arrdt;469
Reconnaissances;2005;15ème arrdt;1165
Décès;2017;1er arrdt;43
Reconnaissances;2005;16ème arrdt;498
Décès;2018;20ème arrdt;1098
Reconnaissances;2006;15ème arrdt;1059
Décès;2020;8ème arrdt;105
Reconnaissances;2007;3ème arrdt;165
Décès;2020;15ème arrdt;3613
Reconnaissances;2011;6ème arrdt;84
Décès;2020;17ème arrdt;434
Reconnaissances;2011;9ème arrdt;259
